job_role,count
Software Engineer,266
Specialized,83
Data Engineer,76
AI Engineer,67
Data Analyst,64
Platform Engineer,52
Business Intelligence Analyst,46
Full Stack Developer,43
Data Scientist,40
Research Scientist,26
QA Engineer,24
Solutions Architect,21
Cloud Engineer,20
Web Developer,17
Business Analyst,16
Machine Learning Engineer,15
Systems Administrator,15
Data Architect,15
Engineering Manager,14
GIS Analyst,12
DevOps Engineer,11
Quantitative Analyst,11
Product Manager,8
Sales Engineer,7
Technical Writer,7
Embedded Systems Engineer,7
Cyber Security Engineer,5
Mobile Developer,5
Game Developer,4
Database Administrator,3
